transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000222673.6	2547	503	2384	380
ENST00000222674.2	0	0	0	0
ENST00000222693.5	626	111	617	91
ENST00000222718.7	0	0	0	0
ENST00000222725.10	93	4	88	3
ENST00000222726.4	3	0	3	0
ENST00000222728.3	1	0	1	0
ENST00000222747.8	175	13	170	6
ENST00000222792.11	0	0	0	0
ENST00000222800.7	235	30	224	23
ENST00000222803.10	542	51	534	39
ENST00000222812.8	59	12	51	6
ENST00000222823.9	116	39	113	31
ENST00000222982.8	0	4	0	0
ENST00000222990.8	390	60	368	44
ENST00000223023.5	547	38	526	30
ENST00000223026.9	0	0	0	0
ENST00000223029.8	1072	215	1025	69
ENST00000223061.6	1631	838	1596	679
ENST00000223073.6	1099	152	1075	115
ENST00000223095.5	1149	145	1126	111
ENST00000223114.9	0	0	0	0
ENST00000223127.8	1299	348	1280	278
ENST00000223129.8	472	97	607	83
ENST00000223136.5	553	150	527	115
ENST00000223145.10	322	20	297	14
ENST00000223208.10	447	18	412	15
ENST00000223210.5	7	3	6	3
ENST00000223273.7	392	36	386	29
